p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
GPR17	1.74609404562724e-18	0.662191369305409	0.57	0.391	4.13579835647267e-14	0	GPR17
SLC1A1	4.46148870957827e-12	0.556146485611418	0.485	0.344	1.05674821575071e-07	0	SLC1A1
ATCAY	8.35888767000609e-12	0.257622715840207	0.99	0.994	1.97988613351764e-07	0	ATCAY
RPSA	8.90414010586962e-12	0.259248880737666	0.981	0.972	2.10903462547628e-07	0	RPSA
HIPK2	1.69186723568216e-11	0.29048118837217	0.895	0.797	4.00735673443676e-07	0	HIPK2
DLL3	1.98183555641255e-11	0.413166489867772	0.692	0.559	4.69417569891875e-07	0	DLL3
RPLP0	2.46382902476422e-11	0.26509803664886	0.981	0.978	5.83582542805654e-07	0	RPLP0
TRAF4	2.78569983184517e-11	0.477177973141198	0.582	0.435	6.59820862170846e-07	0	TRAF4
TNR	5.06538313829885e-11	0.278091935967037	0.942	0.871	1.19978665013747e-06	0	TNR
SCD	9.10032616781688e-11	0.416685102628557	0.947	0.897	2.15550325610911e-06	0	SCD
APOD	1.10143252362579e-10	0.385533294107789	0.719	0.586	2.60885307546004e-06	0	APOD
POLR2F	1.47476711254668e-10	0.317427592740815	0.845	0.755	3.49313338277807e-06	0	POLR2F
ASIC1	4.18608411171487e-10	0.259679037259783	0.704	0.542	9.91515882700783e-06	0	ASIC1
ANGPTL2	7.62227506645054e-10	0.293639079952343	0.743	0.63	1.80541207223948e-05	0	ANGPTL2
EPN2	9.06497294494109e-10	0.274152258190608	0.879	0.815	2.14712949173875e-05	0	EPN2
FGFBP3	1.37752457362572e-09	0.36101374137156	0.636	0.52	3.26280470508987e-05	0	FGFBP3
FA2H	1.71557408069997e-09	0.444649667020689	0.389	0.261	4.06350876754594e-05	0	FA2H
LPPR1	2.77940467928322e-09	0.258521190725999	0.837	0.735	6.58329792335023e-05	0	LPPR1
RTKN	3.22415198332239e-09	0.333853850393126	0.672	0.553	7.63672638769742e-05	0	RTKN
LHFPL3	3.43687382830665e-09	0.252159416947082	0.832	0.739	8.14057934972712e-05	0	LHFPL3
OPCML	3.49953730255904e-09	0.261264135327391	0.534	0.406	8.28900405484135e-05	0	OPCML
PDE4B	5.28300479738453e-09	0.310734985762129	0.801	0.721	0.00012513325163085	0	PDE4B
NEU4	1.3246162371916e-08	0.282437437357767	0.599	0.473	0.000313748601941201	0	NEU4
AMOTL2	2.09384636038314e-08	0.323161746262686	0.534	0.411	0.00049594844892035	0	AMOTL2
TAGLN3	2.76737846655169e-08	0.337424638619395	0.582	0.464	0.000655481263587432	0	TAGLN3
MSMO1	2.79901281957274e-08	0.420651061893077	0.844	0.806	0.000662974176443999	0	MSMO1
KIF3A	4.1211697623527e-08	0.30543250749692	0.92	0.937	0.000976140269910862	0	KIF3A
NOMO1	4.34318087936905e-08	0.486855537236216	0.554	0.455	0.00102872582308735	0	NOMO1
MYT1	4.70271162244151e-08	0.347976730161955	0.673	0.573	0.0011138842748915	0	MYT1
RPL31	4.83468931853827e-08	0.259119594968764	0.934	0.921	0.00114514451198897	0	RPL31
RPL7A	1.31466879403653e-07	0.263530200381662	0.963	0.949	0.00311392450555492	0	RPL7A
SHD	1.32804929499878e-07	0.266154381748647	0.622	0.528	0.00314561756013412	0	SHD
ACAT2	1.43649205202144e-07	0.359670160228776	0.646	0.547	0.00340247507441799	0	ACAT2
THBS2	1.47505128324619e-07	0.365875138961647	0.566	0.453	0.00349380646949693	0	THBS2
LIMS2	2.22821617347628e-07	0.538561385583806	0.289	0.197	0.00527775282849593	0	LIMS2
RAB33A	2.48940880194689e-07	0.371237155223614	0.393	0.282	0.00589641368829141	0	RAB33A
MIAT	5.88941961190512e-07	0.281815977672585	0.69	0.593	0.0139496792927585	0	MIAT
CDH13	6.23122810298398e-07	0.296252357281432	0.52	0.416	0.0147592868847278	0	CDH13
GLO1	8.39965677430579e-07	0.322386760723714	0.653	0.557	0.0198954270356207	0	GLO1
LPPR2	8.54672012349977e-07	0.285517197236778	0.69	0.597	0.0202437612845215	0	LPPR2
RPL37	8.56096175164357e-07	0.251236114950452	0.857	0.814	0.020277494004943	0	RPL37
SHC3	1.15442970844431e-06	0.291705370196095	0.526	0.419	0.027343822074212	0	SHC3
DHCR24	1.15497145529154e-06	0.338922510962125	0.493	0.39	0.0273566538900353	0	DHCR24
DERL1	1.34427070431467e-06	0.298117668321412	0.488	0.383	0.0318403959023972	0	DERL1
DGCR2	1.753473111269e-06	0.252066296938416	0.813	0.734	0.0415327641135175	0	DGCR2
PTGDS	2.17168964990773e-06	1.01432690111469	0.259	0.174	0.0514386410477146	0	PTGDS
OLFM2	2.64733360835807e-06	0.399098292654509	0.406	0.306	0.0627047438475691	0	OLFM2
BAALC	4.0136167012958e-06	0.323563354018301	0.747	0.669	0.0950665251868923	0	BAALC
CYP51A1	5.58577071102374e-06	0.343672958895187	0.925	0.927	0.132304565061308	0	CYP51A1
SLC22A17	6.65200570126122e-06	0.259343024723207	0.91	0.848	0.157559407040073	0	SLC22A17
GDAP1L1	7.36463828261556e-06	0.323867969027038	0.609	0.527	0.174438822362032	0	GDAP1L1
ST3GAL5	8.35137858003963e-06	0.250887285697488	0.672	0.589	0.197810753046819	0	ST3GAL5
IFITM10	9.51998934251649e-06	0.283598591994283	0.512	0.424	0.225490467566846	0	IFITM10
ARL4A	1.13543461264302e-05	0.250744749920746	0.524	0.426	0.268939042350625	0	ARL4A
QDPR	1.17481010317731e-05	0.500034122953863	0.514	0.413	0.278265521038578	0	QDPR
PAPSS1	1.42410079878256e-05	0.347639007313367	0.485	0.387	0.337312515199637	0	PAPSS1
KIF13A	1.49726732441796e-05	0.306159930687633	0.543	0.442	0.354642738461639	0	KIF13A
TMEM97	1.83929716251104e-05	0.337898798748605	0.571	0.49	0.435655925912365	0	TMEM97
CDHR1	2.18043308110577e-05	0.320233765014924	0.643	0.547	0.516457379590714	0	CDHR1
TUBB4A	3.5864948288673e-05	0.776527231662912	0.599	0.522	0.849497165165508	0	TUBB4A
