p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1	2.15943652954756e-06	0.983962969958888	0.1	0.058	0.00158286697615836	0	TF.ATF2.TG.ST3GAL5.mode.A.TG.HI
2	0.000444849525018656	0.798761247317148	0.104	0.072	0.326074701838675	0	TF.IRF1.TG.DST.mode.R.TG.HI
3	1.90562393649475e-130	2.48524970284779	0.359	0.041	1.39682234545065e-127	1	TF.STAT3.TG.IFNAR1.mode.A.TG.LW
4	1.3678051872633e-80	2.23866189534018	0.269	0.039	1.002601202264e-77	1	TF.STAT3.TG.F2R.mode.A.TG.LW
5	9.40439775452514e-77	2.19883229413003	0.271	0.042	6.89342355406693e-74	1	TF.STAT3.TG.PTEN.mode.A.TG.LW
6	1.45463637452292e-73	2.72955652770583	0.182	0.016	1.0662484625253e-70	1	TF.STAT3.TG.TYK2.mode.R.TG.HI
7	1.09035090024044e-57	2.47586292058984	0.154	0.016	7.99227209876242e-55	1	TF.KAT5.TG.STAT3.mode.R.TG.LW
8	1.130021155014e-56	2.40302646817058	0.168	0.02	8.28305506625266e-54	1	TF.STAT3.TG.LGALS3BP.mode.R.TG.HI
9	1.20977724189774e-53	2.05469995417455	0.211	0.036	8.86766718311042e-51	1	TF.STAT3.TG.EGFR.mode.A.TG.LW
10	6.78758142821341e-46	2.31475461268322	0.147	0.019	4.97529718688043e-43	1	TF.STAT3.TG.MMP2.mode.R.TG.HI
11	1.39318771580444e-31	2.04651752987145	0.129	0.023	1.02120659568465e-28	1	TF.STAT3.TG.CCND3.mode.A.TG.LW
12	3.05066751604091e-14	1.95185722518773	0.051	0.008	2.23613928925798e-11	1	TF.STAT3.TG.ZFP36.mode.A.TG.LW
13	1.29629385234298e-140	3.74531528605857	0.213	0.005	9.50183393767402e-138	2	TF.TP53.TG.HSP90AB1.mode.R.TG.HI
14	2.0719019653654e-98	3.34707180071471	0.169	0.006	1.51870414061284e-95	2	TF.TP53.TG.IGF1R.mode.R.TG.HI
15	1.79986474413227e-84	4.35712884840582	0.108	0.001	1.31930085744895e-81	2	TF.NF1.TG.TP53.mode.A.TG.LW
16	7.58271199196731e-69	3.26274549040238	0.112	0.004	5.55812789011204e-66	2	TF.ABL1.TG.TP53.mode.A.TG.LW
17	1.59491086874498e-66	3.99118304635152	0.093	0.001	1.16906966679007e-63	2	TF.TP53.TG.UHRF1.mode.R.TG.HI
18	8.97766812220936e-63	3.82465444235957	0.09	0.002	6.58063073357946e-60	2	TF.TP53.TG.OGG1.mode.A.TG.LW
19	1.22015277129094e-62	3.79059459383455	0.088	0.001	8.94371981356257e-60	2	TF.TP53.TG.DDB1.mode.R.TG.HI
20	1.38635521628737e-62	4.22533798874106	0.081	0.001	1.01619837353864e-59	2	TF.RUVBL1.TG.TP53.mode.R.TG.LW
21	4.63035946585269e-46	3.45845810251338	0.073	0.002	3.39405348847002e-43	2	TF.TP53.TG.DUSP1.mode.A.TG.LW
22	1.21790893948797e-45	3.3896107236984	0.071	0.002	8.9272725264468e-43	2	TF.TP53.TG.CTSD.mode.A.TG.LW
23	1.2953625727526e-176	3.50248120837689	0.295	0.01	9.49500765827659e-174	3	TF.TP53.TG.VCAN.mode.A.TG.HI
24	1.34323137074071e-126	3.72689173416023	0.192	0.004	9.84588594752944e-124	3	TF.TP53.TG.EGFR.mode.A.TG.HI
25	7.76677623687257e-94	4.2364595877041	0.131	0.002	5.69304698162759e-91	3	TF.ABL1.TG.TP53.mode.A.TG.HI
26	4.01101160432802e-90	3.3940488087077	0.162	0.007	2.94007150597244e-87	3	TF.TP53.TG.IGF1R.mode.R.TG.LW
27	4.16208094261858e-85	3.85072186692311	0.131	0.003	3.05080533093942e-82	3	TF.TP53.TG.CTSD.mode.A.TG.HI
28	6.57563252026817e-72	3.39412499650287	0.134	0.006	4.81993863735657e-69	3	TF.TP53.TG.CD82.mode.A.TG.HI
29	2.30239129547407e-58	3.39580412495891	0.093	0.003	1.6876528195825e-55	3	TF.EZH2.TG.TP53.mode.R.TG.HI
30	2.04626441407755e-54	3.39983436040236	0.088	0.003	1.49991181551884e-51	3	TF.TP53.TG.OGG1.mode.A.TG.HI
31	2.78177212982084e-47	3.23456597231631	0.081	0.003	2.03903897115868e-44	3	TF.NF1.TG.TP53.mode.A.TG.HI
